Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Tissue Type 1,Term Source 3 REF,Term Source 3 Accession,Tissue Type 2,Term Source 4 REF,Term Source 4 Accession,Compound 1 Name,Compound 1 Concentration (microMolar),Compound 1 InChIKey,Compound 1 SMILES,Compound 1 PubChem CID,Compound 1 PubChem URL,Compound 2 Name,Compound 2 Concentration (microMolar),Compound 2 InChIKey,Compound 2 SMILES,Compound 2 PubChem CID,Compound 2 PubChem URL,Control Type,Channels,Errors
AU00601,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,,0,,,,,,,,,,,Negative Control,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Doxorubicin,1,MWWSFMDVAYGXBV-BXPPNZEESA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,31703,https://pubchem.ncbi.nlm.nih.gov/compound/31703,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,,0,,,,,,,,,,,Negative Control,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Gemcitabine,0.25,OKKDEIYWILRZIA-OSZBKLCCSA-N,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,60750,https://pubchem.ncbi.nlm.nih.gov/compound/60750,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,,0,,,,,,,,,,,Negative Control,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Lapatinib,5,,,,,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,B1,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Doxorubicin,10,MWWSFMDVAYGXBV-BXPPNZEESA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,31703,https://pubchem.ncbi.nlm.nih.gov/compound/31703,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,B2,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Doxorubicin,20,MWWSFMDVAYGXBV-BXPPNZEESA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,31703,https://pubchem.ncbi.nlm.nih.gov/compound/31703,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,B3,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Gemcitabine,1,OKKDEIYWILRZIA-OSZBKLCCSA-N,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,60750,https://pubchem.ncbi.nlm.nih.gov/compound/60750,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,B4,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Gemcitabine,2.5,OKKDEIYWILRZIA-OSZBKLCCSA-N,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,60750,https://pubchem.ncbi.nlm.nih.gov/compound/60750,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,B5,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Lapatinib,10,,,,,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,B6,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Lapatinib,25,,,,,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
AU00601,C1,Homo sapiens,NCBITaxon,NCBITaxon_9606,AU565,EFO,EFO_0001087,Breast,UBERON,UBERON_0000310,Mammary gland,UBERON,UBERON_0001911,Doxorubicin,50,MWWSFMDVAYGXBV-BXPPNZEESA-N,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,31703,https://pubchem.ncbi.nlm.nih.gov/compound/31703,,,,,,,,"P:Phase contrast, R:Nuclear reporter, G:Cell cycle reporter",
